,point_of_origin,nearest_point,distance_in_meter
210,POINT (28.99095 41.05498),POINT (28.9910654 41.0517089),319.01650352829466
211,POINT (28.9858 41.04484),POINT (28.9821093 41.0412067),541.0201577865696
212,POINT (28.99224 41.06),POINT (28.9892825 41.0616722),366.06519633078096
213,POINT (28.98382 41.04459),POINT (28.9821093 41.0412067),380.3488098813842
214,POINT (28.98597 41.04459),POINT (28.9821093 41.0412067),540.1972664317635
215,POINT (28.97844000000001 41.04862),POINT (28.97870225 41.05463435),586.8727717840385
216,POINT (28.98662 41.04205),POINT (28.9821093 41.0412067),506.6554072728417
217,POINT (28.98498 41.04277),POINT (28.9821093 41.0412067),352.7694015834115
218,POINT (28.9979 41.06032),POINT (28.9993687 41.0557129),477.5196091880128
219,POINT (28.98437 41.05798),POINT (28.9863997 41.05934910000001),261.5527065740666
220,POINT (28.98467 41.04368),POINT (28.9821093 41.0412067),372.35633911287806
221,POINT (29.00015 41.06007),POINT (28.9995352 41.0557256),428.76362874609595
222,POINT (28.98636 41.05194),POINT (28.9868253 41.0523695),66.41930221602288
223,POINT (28.98574 41.05097),POINT (28.9868253 41.0523695),181.85204482109265
224,POINT (28.98119 41.06153),POINT (28.9863997 41.05934910000001),615.2932243120948
225,POINT (28.98535 41.05133),POINT (28.9868253 41.0523695),192.3520914482389
226,POINT (28.98545 41.05013),POINT (28.9868253 41.0523695),266.20629826514437
227,POINT (28.97875 41.05411),POINT (28.97870225 41.05463435),51.37586957235056
228,POINT (28.98506 41.0606),POINT (28.9863997 41.05934910000001),192.11599752630894
229,POINT (28.98292 41.0441),POINT (28.9821093 41.0412067),295.9382166049929
230,POINT (28.97975 41.05581),POINT (28.97870225 41.05463435),163.13658819618686
231,POINT (28.98588 41.04543),POINT (28.98894300000007 41.05008799900003),566.8343556916286
232,POINT (28.98506 41.05837),POINT (28.9863997 41.05934910000001),176.5002069845379
233,POINT (28.98298 41.04699),POINT (28.9821093 41.0412067),571.8153719905823
