point_of_origin,nearest_point,distance_in_meter
POINT (28.98101 41.04726),POINT (28.9821093 41.0412067),602.3824559936908
POINT (28.97964 41.04768),POINT (28.9821093 41.0412067),687.6755307718518
POINT (28.98139 41.04906),POINT (28.97870225 41.05463435),619.5786628819467
POINT (28.99114 41.05572),POINT (28.9910654 41.0517089),390.9581125264341
POINT (28.98376 41.04471),POINT (28.9821093 41.0412067),387.3452154271623
POINT (28.98563 41.04513),POINT (28.9821093 41.0412067),546.310770280459
POINT (28.98445 41.04466),POINT (28.9821093 41.0412067),424.9287064828392
POINT (28.99528 41.06154),POINT (28.9967448 41.0652149),393.1769132514146
POINT (28.99348 41.06465),POINT (28.9954953 41.0670708),324.86644273996177
POINT (28.98519000000001 41.04196),POINT (28.9821093 41.0412067),349.2536125239932
POINT (29.00519 41.07527),POINT (29.00658198800005 41.06918643200004),612.4923099879626
POINT (28.99763 41.07093),POINT (28.9996767 41.07080525),227.17296207191507
POINT (28.98505 41.0481),POINT (28.98894300000007 41.05008799900003),472.97966056867205
POINT (28.98537 41.05085),POINT (28.9868253 41.0523695),218.96235835867873
POINT (28.98459 41.04181),POINT (28.9821093 41.0412067),281.1655269960428
POINT (28.99156 41.05457),POINT (28.9910654 41.0517089),284.14399756074545
POINT (28.96416 41.05462),POINT (28.9736036 41.0620394),1272.202652436346
POINT (28.98169 41.04819000000001),POINT (28.9868253 41.0523695),699.8985907715844
POINT (28.99289000000001 41.0564),POINT (28.99561331400002 41.05553430600003),313.40657248094897
POINT (28.98145 41.05156),POINT (28.97870225 41.05463435),427.22466296970964
POINT (28.99436 41.0531),POINT (28.9946951 41.0530658),37.290247680149164
POINT (28.9999 41.07355),POINT (28.9996767 41.07080525),268.588720035524
POINT (28.99065 41.05381),POINT (28.9910654 41.0517089),209.8596630509946
POINT (28.98513 41.04232),POINT (28.9821093 41.0412067),351.941624516728
POINT (28.99786 41.06042),POINT (28.9967448 41.0652149),483.29525056954793
POINT (28.98639 41.04309),POINT (28.9821093 41.0412067),508.71512873836355
POINT (28.99654 41.06853),POINT (28.997029 41.067248),136.1713549908262
POINT (28.99454 41.0674),POINT (28.9954953 41.0670708),110.63399547280683
POINT (28.98483 41.04875),POINT (28.9868253 41.0523695),416.32269121501054
POINT (28.98666 41.05445),POINT (28.9868253 41.0523695),203.57361397707285
POINT (28.99337 41.06349),POINT (28.9967448 41.0652149),410.07696012023666
POINT (28.99644 41.06948),POINT (28.997029 41.067248),227.07681120086653
POINT (28.98687 41.04881),POINT (28.98894300000007 41.05008799900003),261.34493483546044
POINT (28.97857 41.06151),POINT (28.9736036 41.0620394),552.8656397390437
POINT (28.98185 41.05539),POINT (28.97870225 41.05463435),356.5700763877915
POINT (28.98472000000001 41.04219000000001),POINT (28.9821093 41.0412067),304.81303352393945
POINT (29.01119000000001 41.06852),POINT (29.0084154 41.0687452),308.30709180285356
POINT (28.97999 41.06092),POINT (28.97870225 41.05463435),628.9961439480604
POINT (28.9943 41.05398),POINT (28.9946951 41.0530658),99.26486429894676
POINT (28.97993 41.04456),POINT (28.9821093 41.0412067),406.3774361823014
POINT (28.99922 41.06847),POINT (29.0010341 41.0672759),232.30521500973035
POINT (28.97848 41.04691),POINT (28.9821093 41.0412067),686.1156378479915
POINT (28.99882 41.07421),POINT (28.9996767 41.07080525),345.0784317283559
POINT (28.97924 41.04421),POINT (28.9821093 41.0412067),432.2103912260211
POINT (28.9854 41.04433),POINT (28.9821093 41.0412067),475.04905470156757
POINT (28.99959 41.07211),POINT (28.9996767 41.07080525),127.49651422080987
POINT (28.98353 41.0421),POINT (28.9821093 41.0412067),179.92706008940758
POINT (28.98378 41.04437),POINT (28.9821093 41.0412067),359.6178164701454
POINT (29.00519 41.0694),POINT (29.00658198800005 41.06918643200004),155.67913820173155
POINT (28.99541 41.06009),POINT (28.99561331400002 41.05553430600003),444.4926067264316
POINT (28.98155 41.05692),POINT (28.97870225 41.05463435),386.31927785787747
POINT (29.00633 41.07439),POINT (29.00658198800005 41.06918643200004),507.76717155376815
POINT (28.9807 41.04714),POINT (28.9821093 41.0412067),598.9636264534904
POINT (28.99629 41.04961),POINT (28.993006 41.05005999999999),366.61617143677495
POINT (28.98934 41.0524),POINT (28.9910654 41.0517089),202.74774115808168
POINT (28.98052 41.04998),POINT (28.97870225 41.05463435),496.3335246591014
POINT (28.98068 41.0505),POINT (28.97870225 41.05463435),458.6932574842702
POINT (28.99387 41.07194000000001),POINT (28.9936129 41.0679197),392.7922435160085
POINT (28.99958 41.10584),POINT (29.01134024300007 41.08607120700003),2325.735704646859
POINT (28.98258 41.0507),POINT (28.9868253 41.0523695),497.8646264900063
POINT (28.98279 41.05084),POINT (28.9868253 41.0523695),471.4381243519419
POINT (28.9805 41.04839000000001),POINT (28.97870225 41.05463435),640.3515460697071
POINT (28.99338 41.05821),POINT (28.99561331400002 41.05553430600003),359.51624012726194
POINT (28.98167 41.04175),POINT (28.9821093 41.0412067),71.93181413882888
POINT (28.98666 41.06047),POINT (28.9863997 41.05934910000001),112.97917046210652
POINT (29.00507 41.07075),POINT (29.00658198800005 41.06918643200004),226.4785406721952
POINT (28.99379 41.07114),POINT (28.9936129 41.0679197),314.4148562908706
POINT (28.98603 41.04384),POINT (28.9821093 41.0412067),504.6707759165099
POINT (28.99617000000001 41.05758),POINT (28.99561331400002 41.05553430600003),208.6687343667392
POINT (28.98089 41.0446),POINT (28.9821093 41.0412067),357.2459116916982
POINT (28.99809 41.07002),POINT (28.9996767 41.07080525),191.78718809298823
POINT (28.98179 41.04131),POINT (28.9821093 41.0412067),36.793799731046214
POINT (28.99694 41.05602),POINT (28.9971406 41.05509910000001),92.44746656565299
POINT (28.98441 41.04288),POINT (28.9821093 41.0412067),302.6824711140403
POINT (28.9848 41.0446),POINT (28.9821093 41.0412067),445.30376284329014
POINT (28.98535 41.06302),POINT (28.98725545 41.06247485),217.77106152496688
POINT (28.98716 41.06163),POINT (28.98725545 41.06247485),83.0083083770199
POINT (29.00161 41.06957),POINT (29.00218711700007 41.06914646600006),76.1222188818093
