,point_of_origin,nearest_point,distance_in_meter
200,POINT (29.13941 40.97567),POINT (29.1315907 40.9814824),1034.913260689984
201,POINT (29.11023 40.97475),POINT (29.109711 40.985018),1001.0959818901941
202,POINT (29.08355 40.99523),POINT (29.0862389 40.992999),368.7836462802563
203,POINT (29.08434 41.00105),POINT (29.0862389 40.992999),811.6006637958064
204,POINT (29.11838 40.98959),POINT (29.1211856 40.9878653),353.3789072529003
205,POINT (29.08367 40.99545),POINT (29.0862389 40.992999),371.5022152236167
206,POINT (29.10603 40.99214),POINT (29.1110669 40.99593970000001),669.6744368910224
207,POINT (29.15689 40.98008),POINT (29.1315907 40.9814824),2807.4458554834973
208,POINT (29.14959 40.97621),POINT (29.1315907 40.9814824),2059.9192028790276
209,POINT (29.1488 40.97509),POINT (29.1315907 40.9814824),2006.306546932473
210,POINT (29.14501 40.9757),POINT (29.1315907 40.9814824),1590.2435172902067
211,POINT (29.16042 40.99091),POINT (29.1315907 40.9814824),3324.451321706814
212,POINT (29.10985 40.98147),POINT (29.109711 40.985018),345.6908027677549
213,POINT (29.15384 40.97508),POINT (29.1315907 40.9814824),2543.54349648023
214,POINT (29.11758 40.97406),POINT (29.1130349 40.9854081),1213.9771059056
215,POINT (29.11167 40.97592),POINT (29.109711 40.985018),911.7839904476486
216,POINT (29.09885 40.99844),POINT (29.0989167 40.9950609),329.02502354362457
217,POINT (29.07834 41.00473),POINT (29.07273431600004 41.00658345600004),646.9958104813293
218,POINT (29.14917 40.97462),POINT (29.1315907 40.9814824),2059.704591642933
219,POINT (29.07356 41.0035),POINT (29.07273431600004 41.00658345600004),313.8747859346339
220,POINT (29.09371 41.00707),POINT (29.1029359 41.0010364),1179.2536450613393
221,POINT (29.07838 40.99183),POINT (29.0862389 40.992999),878.4622005682157
222,POINT (29.14116 40.97506),POINT (29.1315907 40.9814824),1231.0757688278604
223,POINT (29.08284 40.99559),POINT (29.0862389 40.992999),453.3824533754331
224,POINT (29.12219 40.98307),POINT (29.1211856 40.9878653),479.794437707535
225,POINT (29.07387 40.99407),POINT (29.06724095 40.98946395),860.8155129134396
226,POINT (29.12678 40.9896),POINT (29.1211856 40.9878653),642.6430272923094
227,POINT (29.08696 41),POINT (29.0862389 40.992999),686.270422492747
228,POINT (29.08336 40.99467),POINT (29.0862389 40.992999),358.16900396359694
229,POINT (29.13632 40.97669000000001),POINT (29.1315907 40.9814824),701.616245295211
230,POINT (29.07471 41.00483),POINT (29.07273431600004 41.00658345600004),277.6718444576843
231,POINT (29.08125 40.99462),POINT (29.0862389 40.992999),575.0366856478593
232,POINT (29.08112 40.99597),POINT (29.0862389 40.992999),636.8454543453582
233,POINT (29.14317 40.97857),POINT (29.1315907 40.9814824),1314.3450464116297
234,POINT (29.07671 40.99484),POINT (29.0862389 40.992999),1071.257867574983
235,POINT (29.09854 40.99743),POINT (29.0989167 40.9950609),234.37182096224007
236,POINT (29.13385 40.97366),POINT (29.1315907 40.9814824),801.3613522181812
237,POINT (29.12813 40.97474),POINT (29.1315907 40.9814824),760.0414359436977
238,POINT (29.08553 40.99889),POINT (29.0862389 40.992999),578.8945171946588
239,POINT (29.08158 40.99629),POINT (29.0862389 40.992999),607.7099687612084
240,POINT (29.1146 40.99078),POINT (29.1188532 40.99326729999999),529.9416044218757
241,POINT (29.0837 40.99252),POINT (29.0862389 40.992999),285.2425443390314
242,POINT (29.15657 40.99134),POINT (29.1315907 40.9814824),2930.1020641852183
243,POINT (29.13553 40.97663),POINT (29.1315907 40.9814824),643.1303557924698
244,POINT (29.08433 40.99295),POINT (29.0862389 40.992999),211.63085571971467
245,POINT (29.11319 40.96088),POINT (29.09758958000003 40.97528789900008),2226.3716996520375
246,POINT (29.11494 40.96178),POINT (29.09758958000003 40.97528789900008),2329.6026271633687
247,POINT (29.08441 40.9938),POINT (29.0862389 40.992999),217.19335026507943
248,POINT (29.11487 40.96644000000001),POINT (29.1130349 40.9854081),1857.3707166468716
249,POINT (29.07759 40.99373),POINT (29.0862389 40.992999),961.2575420956127
250,POINT (29.11254000000001 40.98975),POINT (29.1130349 40.9854081),426.15495210869886
251,POINT (29.12396 40.98964),POINT (29.1211856 40.9878653),352.69496680901847
252,POINT (29.1126 40.96687),POINT (29.09758958000003 40.97528789900008),1854.5543319673159
253,POINT (29.10103 40.97466),POINT (29.09758958000003 40.97528789900008),386.1948995315649
254,POINT (29.11069 40.98873),POINT (29.1087565 40.9856041),372.1583016848669
255,POINT (29.07886 41.00398),POINT (29.07273431600004 41.00658345600004),724.7310232169718
256,POINT (29.08044000000001 40.99422),POINT (29.0862389 40.992999),653.6345856417477
257,POINT (29.09311 41.00843),POINT (29.1029359 41.0010364),1305.4193254295606
258,POINT (29.11056 40.97911),POINT (29.109711 40.985018),582.7061532355156
259,POINT (29.11357000000001 40.96879000000001),POINT (29.1130349 40.9854081),1618.5675242552202
260,POINT (29.12295 40.99375),POINT (29.1188532 40.99326729999999),456.50388406802927
261,POINT (29.07398 40.99482),POINT (29.06724095 40.98946395),910.9934417181129
262,POINT (29.0851 40.99418),POINT (29.0862389 40.992999),170.74868212056472
263,POINT (29.09504 40.99348),POINT (29.0989167 40.9950609),456.41210096715594
264,POINT (29.08523 40.994),POINT (29.0862389 40.992999),148.33121123499748
265,POINT (29.14452 40.97606),POINT (29.1315907 40.9814824),1527.1116012819161
266,POINT (29.07541 40.99343),POINT (29.06724095 40.98946395),984.3498267815689
267,POINT (29.07477 40.99536),POINT (29.06724095 40.98946395),1012.9112066292756
268,POINT (29.11868 40.99096),POINT (29.1188532 40.99326729999999),225.38236491485478
269,POINT (29.12375 40.99347),POINT (29.1188532 40.99326729999999),543.108797327171
270,POINT (29.13444 40.98965),POINT (29.1307821 40.9830495),759.5759127919657
271,POINT (29.08584 40.99769000000001),POINT (29.0862389 40.992999),458.8419775936107
272,POINT (29.10717 40.99571),POINT (29.1110669 40.99593970000001),432.50120536449003
273,POINT (29.0755 40.99392),POINT (29.06724095 40.98946395),1013.0328651272347
274,POINT (29.1131 40.97600000000001),POINT (29.1130349 40.9854081),915.7440094303992
275,POINT (29.14819 40.97532),POINT (29.1315907 40.9814824),1935.0885636129585
276,POINT (29.11634 40.99159),POINT (29.1188532 40.99326729999999),322.8690207642954
277,POINT (29.11672 40.97754000000001),POINT (29.1130349 40.9854081),867.9253368758491
