,point_of_origin,nearest_point,distance_in_meter
177,POINT (29.00641 41.05647),POINT (28.9995352 41.0557256),765.4183604582643
178,POINT (29.00264 41.04404),POINT (29.0004588 41.0487174),515.9042134700311
179,POINT (29.00633 41.05222),POINT (29.0001178 41.0527306),690.3293241496626
180,POINT (29.0246 41.07551),POINT (29.0253075 41.0777839),234.98343467280725
181,POINT (29.02262 41.05277),POINT (29.016612 41.066644),1506.7456173081532
182,POINT (28.99871 41.04600000000001),POINT (29.0004588 41.0487174),328.14504683095856
183,POINT (28.99914 41.04854),POINT (29.0004588 41.0487174),147.18873337353418
184,POINT (29.02318 41.07579000000001),POINT (29.0253075 41.0777839),305.5027540514819
185,POINT (29.00644 41.0588),POINT (28.9995352 41.0557256),821.837873090049
186,POINT (29.03179 41.08415),POINT (29.02571553100006 41.07891799500004),844.4212566256965
187,POINT (29.0075 41.05693),POINT (28.9995352 41.0557256),890.5509538902213
188,POINT (29.03699000000001 41.07405),POINT (29.03654855 41.07449),65.04477010186247
189,POINT (29.00467 41.0408),POINT (29.0004588 41.0487174),901.6555248747833
190,POINT (29.00202 41.04386),POINT (29.0004588 41.0487174),503.93358196033864
191,POINT (29.00621 41.04382),POINT (29.0004588 41.0487174),796.2606920661308
192,POINT (29.00551 41.0552),POINT (29.0001178 41.0527306),644.2646274724259
193,POINT (29.02798 41.08417),POINT (29.02571553100006 41.07891799500004),569.8647633279452
194,POINT (29.00807 41.06024),POINT (29.0084154 41.0687452),829.5554608158739
195,POINT (29.00363 41.06332),POINT (29.0009636 41.065532),365.7768884562306
196,POINT (29.02129 41.05101),POINT (29.016612 41.066644),1608.916311626862
197,POINT (29.02558 41.04967),POINT (29.016612 41.066644),1929.3417448685022
198,POINT (29.02657 41.05009),POINT (29.016612 41.066644),1954.192006778122
199,POINT (29.02576 41.04873),POINT (29.016612 41.066644),2018.328724116106
200,POINT (29.0263 41.04966),POINT (29.016612 41.066644),1972.453991595186
201,POINT (29 41.04547),POINT (29.0004588 41.0487174),320.4824687307874
