,point_of_origin,nearest_point,distance_in_meter
272,POINT (29.04888 41.01808),POINT (29.04619549200004 41.02129809600007),432.16400029342884
273,POINT (29.03227 41.0314),POINT (29.03867389500005 41.02383388600003),1023.1990782499465
274,POINT (29.03625 41.02171),POINT (29.0346424 41.0199689),245.9879512898736
275,POINT (29.01532000000001 41.00904),POINT (29.01217945 41.0053215),502.4038642727646
276,POINT (29.0756 41.04323),POINT (29.06083285 41.0306245),2045.8712954448858
277,POINT (29.05067 41.0335),POINT (29.06083285 41.0306245),1160.704106913492
278,POINT (29.07344 41.01852),POINT (29.07273431600004 41.00658345600004),1164.8935289673743
279,POINT (29.02686 41.01944),POINT (29.0346424 41.0199689),864.1094471416231
280,POINT (29.03392 41.02172),POINT (29.0346424 41.0199689),188.42684387158502
281,POINT (29.02392 41.02556),POINT (29.0346424 41.0199689),1307.286040386946
282,POINT (29.02116 41.01595),POINT (29.01217945 41.0053215),1436.294795986407
283,POINT (29.03915 41.02677),POINT (29.03867389500005 41.02383388600003),290.8123087461166
284,POINT (29.05562 41.02474),POINT (29.06083285 41.0306245),813.7685500036413
285,POINT (29.02816 41.03024),POINT (29.0346424 41.0199689),1231.7570394594222
286,POINT (29.05304000000001 41.05432),POINT (29.06083285 41.0306245),2463.9482689481506
287,POINT (29.02183 41.025),POINT (29.0346424 41.0199689),1502.2688335861765
288,POINT (29.01668 41.0199),POINT (29.01217945 41.0053215),1505.3641748978741
289,POINT (29.0775 41.04753),POINT (29.06083285 41.0306245),2474.363814990827
290,POINT (29.05515 41.0471),POINT (29.06083285 41.0306245),1723.6645007543714
291,POINT (29.03086 41.03595),POINT (29.03867389500005 41.02383388600003),1463.8661690720671
292,POINT (29.07696 41.01581),POINT (29.07273431600004 41.00658345600004),1013.1349599047887
293,POINT (29.02339000000001 41.01908),POINT (29.0346424 41.0199689),1250.1760081804348
294,POINT (29.01288 41.01622),POINT (29.01217945 41.0053215),1064.6450476688974
295,POINT (29.02025 41.03089),POINT (29.0346424 41.0199689),1917.408670993479
296,POINT (29.01628 41.02156),POINT (29.01217945 41.0053215),1646.0334403224826
297,POINT (29.0184 41.01082),POINT (29.01217945 41.0053215),873.1088851187262
298,POINT (29.02598 41.01685),POINT (29.0346424 41.0199689),1007.0303549141851
299,POINT (29.07319 40.99803),POINT (29.07273431600004 41.00658345600004),834.3834815530354
300,POINT (29.03309 41.03121),POINT (29.03867389500005 41.02383388600003),948.281425264865
301,POINT (29.01486 41.01108),POINT (29.01217945 41.0053215),634.8406876591397
302,POINT (29.07242 41.04359),POINT (29.06083285 41.0306245),1800.9369138942695
303,POINT (29.07605 41.04573),POINT (29.06083285 41.0306245),2237.9048688042794
304,POINT (29.0316 41.02806),POINT (29.03867389500005 41.02383388600003),885.5397221694446
305,POINT (29.01694 41.01101),POINT (29.01217945 41.0053215),765.2097042192123
306,POINT (29.02696 41.01641),POINT (29.0346424 41.0199689),919.355542319686
307,POINT (29.01676 41.02681),POINT (29.0346424 41.0199689),2091.0554863217585
308,POINT (29.05518 41.04394),POINT (29.06083285 41.0306245),1440.1550132707273
309,POINT (29.0374 41.01317),POINT (29.0346424 41.0199689),729.3758296272954
310,POINT (29.05147 41.00164),POINT (29.0550429 41.0006797),406.90171153588807
311,POINT (29.06578 41.05322),POINT (29.06083285 41.0306245),2267.630697683713
312,POINT (29.02169 41.0164),POINT (29.0346424 41.0199689),1477.0909911242206
313,POINT (29.02773 41.02761),POINT (29.0346424 41.0199689),1068.1691180137984
314,POINT (29.06482 41.00489),POINT (29.0620405 41.0071774),380.1621644312469
315,POINT (29.02492 41.02289),POINT (29.0346424 41.0199689),1114.5298644101608
316,POINT (29.05027 41.03526),POINT (29.06083285 41.0306245),1254.7721893227506
317,POINT (29.03836 41.01339),POINT (29.0346424 41.0199689),761.8568150016517
318,POINT (29.0505 41.03217),POINT (29.06083285 41.0306245),1155.1066460927918
319,POINT (29.01415 41.01496),POINT (29.01217945 41.0053215),964.1105598720294
320,POINT (29.05415 41.00136),POINT (29.0550429 41.0006797),119.09541465110519
321,POINT (29.00972 41.02108),POINT (29.01217945 41.0053215),1559.3408799928704
322,POINT (29.0297 41.03634),POINT (29.03867389500005 41.02383388600003),1572.6603801048386
323,POINT (29.02842 41.0167),POINT (29.0346424 41.0199689),759.6273309494209
324,POINT (29.01332 41.01344),POINT (29.01217945 41.0053215),800.9989343195368
325,POINT (29.0114 41.02462),POINT (29.01217945 41.0053215),1882.1950299363666
326,POINT (29.02087 41.0264),POINT (29.0346424 41.0199689),1650.0335235842826
327,POINT (29.05103 41.00642),POINT (29.0550429 41.0006797),714.3912525460308
328,POINT (29.01495 41.02318),POINT (29.01217945 41.0053215),1766.776056872772
329,POINT (29.05423 41.00003),POINT (29.0550429 41.0006797),110.09673962418243
330,POINT (29.02091 41.02716),POINT (29.0346424 41.0199689),1675.5107041855572
331,POINT (29.03364 41.02705),POINT (29.03867389500005 41.02383388600003),639.8677771135178
332,POINT (29.01925 41.02469),POINT (29.0346424 41.0199689),1766.9362916897123
333,POINT (29.0379 41.02706),POINT (29.03867389500005 41.02383388600003),325.72983802235734
