point_of_origin,nearest_point,distance_in_meter
POINT (29.02545 40.99001),POINT (29.0381205 40.9852841),1477.8769773903102
POINT (29.02325 40.98045),POINT (29.0381205 40.9852841),1714.1383929858957
POINT (29.02572 40.99409),POINT (29.0381205 40.9852841),1620.12984047217
POINT (29.02667000000001 40.99578),POINT (29.0381205 40.9852841),1629.7162015794847
POINT (29.03452 40.997),POINT (29.0381205 40.9852841),1208.948964243008
POINT (29.02636 40.99663),POINT (29.0381205 40.9852841),1708.955623610055
POINT (29.04469000000001 41.00242),POINT (29.0428689 41.0072355),510.6076301432314
POINT (29.03079 40.98461),POINT (29.0381205 40.9852841),815.134681188331
POINT (29.03077 40.98687),POINT (29.0381205 40.9852841),829.2184787864671
POINT (29.02523 40.98869000000001),POINT (29.0381205 40.9852841),1466.7490619396578
POINT (29.03079 40.99119),POINT (29.0381205 40.9852841),995.5263347488341
POINT (29.04515 40.99662),POINT (29.04693296500005 40.98701972100001),955.6809638714033
POINT (29.03008 40.99368),POINT (29.0381205 40.9852841),1209.5570571568699
POINT (29.06666 40.96713),POINT (29.0609895 40.9713669),751.8237117097889
POINT (29.03052000000001 40.98554),POINT (29.0381205 40.9852841),842.7802308836073
POINT (29.03185 40.99646),POINT (29.0381205 40.9852841),1291.5398852642934
POINT (29.03342 40.98314),POINT (29.0381205 40.9852841),561.2875330180311
POINT (29.02688 40.98567),POINT (29.0381205 40.9852841),1246.4223935041625
POINT (29.08052 40.96144),POINT (29.0801286 40.9609437),64.93791971959129
POINT (29.02937 40.99602),POINT (29.0381205 40.9852841),1426.273607842436
POINT (29.02667000000001 40.99165),POINT (29.0381205 40.9852841),1412.518579925518
POINT (29.02704 40.98432),POINT (29.0381205 40.9852841),1231.706998414633
POINT (29.02354 40.986),POINT (29.0381205 40.9852841),1617.552207160781
POINT (29.04284 41.00005),POINT (29.0428689 41.0072355),699.865619874053
POINT (29.02892 40.98876),POINT (29.0381205 40.9852841),1074.4880544318742
POINT (29.03144 40.99525),POINT (29.0381205 40.9852841),1220.89844042142
POINT (29.02938 40.99615),POINT (29.0381205 40.9852841),1434.8353868370823
POINT (29.04168 40.9873),POINT (29.0398008 40.98414015),371.62543839160617
POINT (29.02777 40.99211),POINT (29.0381205 40.9852841),1325.964511670628
POINT (29.02642 40.99179),POINT (29.0381205 40.9852841),1443.4018682119197
POINT (29.02669 40.99168),POINT (29.0381205 40.9852841),1411.8143042638458
POINT (29.02595 40.99212),POINT (29.0381205 40.9852841),1504.331382460918
POINT (29.02885 40.98825),POINT (29.0381205 40.9852841),1067.3502540262527
POINT (29.04356 40.99943),POINT (29.0428689 41.0072355),764.0920065087977
POINT (29.08043 40.95747),POINT (29.081701 40.959921),277.11495922887104
POINT (29.03389 40.99511),POINT (29.0381205 40.9852841),1065.7803864990603
POINT (29.04837 40.98746),POINT (29.04693296500005 40.98701972100001),164.94724112541067
POINT (29.03178 40.99279),POINT (29.0381205 40.9852841),1014.1034460214693
POINT (29.03259000000001 40.99321),POINT (29.0381205 40.9852841),985.7851560271955
POINT (29.02321 40.98432),POINT (29.0381205 40.9852841),1655.2904482869503
POINT (29.02578 40.98515),POINT (29.0381205 40.9852841),1367.8376344773017
POINT (29.03004 40.98841),POINT (29.0381205 40.9852841),945.9562577121543
POINT (29.03175 40.99308),POINT (29.0381205 40.9852841),1036.9153660279376
POINT (29.06572 40.98854),POINT (29.06724095 40.98946395),191.08400714044606
POINT (29.041 40.98168),POINT (29.0400193 40.9830405),171.39147670620008
POINT (29.04244000000001 40.97676),POINT (29.0400193 40.9830405),667.9743427796764
POINT (29.02186 40.98359),POINT (29.0381205 40.9852841),1809.7924345148972
POINT (29.02497 40.98447),POINT (29.0381205 40.9852841),1459.7082340113016
POINT (29.09851 40.96399),POINT (29.09154825 40.9725396),1134.9557189725922
POINT (29.03134 40.98853),POINT (29.0381205 40.9852841),815.3252235792482
POINT (29.03461 41.00781),POINT (29.0428689 41.0072355),917.0955371085126
POINT (29.02127 40.98749),POINT (29.0381205 40.9852841),1879.966950675788
POINT (29.0507 40.98912),POINT (29.04693296500005 40.98701972100001),464.9399083471934
POINT (29.03005 41.0008),POINT (29.0428689 41.0072355),1552.9365064871006
POINT (29.02494 40.98654000000001),POINT (29.0381205 40.9852841),1465.9910331505303
POINT (29.03017 40.9878),POINT (29.0381205 40.9852841),914.6464917557178
POINT (29.04521 41.00226),POINT (29.0428689 41.0072355),549.6983433262086
POINT (29.02661 40.98669),POINT (29.0381205 40.9852841),1283.1103241270664
POINT (29.02813 40.99789000000001),POINT (29.0381205 40.9852841),1653.4530231940994
POINT (29.02807 40.99372),POINT (29.0381205 40.9852841),1384.2457114915542
POINT (29.02114000000001 40.98816),POINT (29.0381205 40.9852841),1902.7905926909782
POINT (29.06035 40.98337),POINT (29.06724095 40.98946395),967.2108316540313
POINT (29.03035 40.98978),POINT (29.0381205 40.9852841),966.1995832196978
POINT (29.04764 40.98314),POINT (29.04693296500005 40.98701972100001),385.90415840488714
POINT (29.02718 40.98726),POINT (29.0381205 40.9852841),1227.784256870425
POINT (29.06449000000001 40.98698),POINT (29.06724095 40.98946395),389.19646178294744
POINT (29.03008 40.9952),POINT (29.0381205 40.9852841),1314.1992291934253
POINT (29.028 40.99379),POINT (29.0381205 40.9852841),1394.5374359085354
POINT (29.02579 40.98533),POINT (29.0381205 40.9852841),1366.6742125914832
POINT (29.08228 40.96382),POINT (29.0801286 40.9609437),367.81179605423637
POINT (29.03387 40.9867),POINT (29.0381205 40.9852841),490.8822472791671
POINT (29.0301 40.99532),POINT (29.0381205 40.9852841),1321.3212777852884
POINT (29.02765 40.9919),POINT (29.0381205 40.9852841),1327.4383095377411
POINT (29.02775 40.99162000000001),POINT (29.0381205 40.9852841),1304.63793491983
POINT (29.0409 41.00619),POINT (29.0428689 41.0072355),240.8155993281247
POINT (29.04988 40.98453),POINT (29.04693296500005 40.98701972100001),406.8058393670582
POINT (29.06535 40.97221),POINT (29.0609895 40.9713669),490.22769376975134
POINT (29.04451 40.98677),POINT (29.04693296500005 40.98701972100001),269.652125651829
POINT (29.0354 40.99516),POINT (29.0381205 40.9852841),1008.1073164608405
POINT (29.03112 41.0031),POINT (29.0428689 41.0072355),1363.0844037121199
POINT (29.03339 40.99365),POINT (29.0381205 40.9852841),968.987869944387
POINT (29.06696 40.97336),POINT (29.0609895 40.9713669),689.6259814919691
POINT (29.05612 40.99498),POINT (29.0550429 41.0006797),567.7680524068863
POINT (29.02307 40.98526),POINT (29.0381205 40.9852841),1668.1429273358249
POINT (29.09648 40.97401),POINT (29.09758958000003 40.97528789900008),174.92944982892055
POINT (29.02772 40.99198),POINT (29.0381205 40.9852841),1324.4807177332434
POINT (29.02742000000001 40.99545),POINT (29.0381205 40.9852841),1545.0513416638396
POINT (29.02297 40.98921),POINT (29.0381205 40.9852841),1722.2205136180753
POINT (29.02599 40.98491),POINT (29.0381205 40.9852841),1344.993404430971
POINT (29.02687 40.99559),POINT (29.0381205 40.9852841),1600.842465990289
POINT (29.09937 40.97156),POINT (29.09758958000003 40.97528789900008),413.0818086335135
POINT (29.02874000000001 40.9886),POINT (29.0381205 40.9852841),1088.7153581499242
POINT (29.0415 40.99165),POINT (29.04693296500005 40.98701972100001),752.3231291156158
POINT (29.06857 40.96689),POINT (29.0609895 40.9713669),946.5663505230499
POINT (29.02793 40.99668),POINT (29.0381205 40.9852841),1583.6452405953094
POINT (29.02563 40.99055),POINT (29.0381205 40.9852841),1476.3735692084304
POINT (29.09036 40.96639),POINT (29.09154825 40.9725396),613.0001936724917
POINT (29.03926 40.98699000000001),POINT (29.0381205 40.9852841),208.71044724466825
POINT (29.02287 40.98608),POINT (29.0381205 40.9852841),1692.0855659250485
POINT (29.02733 40.987),POINT (29.0381205 40.9852841),1207.6020916169512
POINT (29.03252 40.99769000000001),POINT (29.0381205 40.9852841),1358.5147604209594
POINT (29.03165 40.99759),POINT (29.0381205 40.9852841),1396.8318153072648
POINT (29.03219 40.99857),POINT (29.0428689 41.0072355),1453.739122642564
POINT (29.02256 40.98557),POINT (29.0381205 40.9852841),1724.892548472107
POINT (29.05145 40.98854),POINT (29.04693296500005 40.98701972100001),522.0882207769007
POINT (29.0331 40.99544),POINT (29.0381205 40.9852841),1135.005552347807
POINT (29.02366 40.98672),POINT (29.0381205 40.9852841),1608.839598049692
POINT (29.02569 40.98839),POINT (29.0381205 40.9852841),1410.5773525503273
POINT (29.08871 40.96034),POINT (29.08519469200007 40.95789641000005),456.51516993373053
POINT (29.03114 40.99365),POINT (29.0381205 40.9852841),1123.6771783104705
POINT (29.04795 40.99728),POINT (29.0550429 41.0006797),853.0316224197187
POINT (29.08957 40.95791),POINT (29.08519469200007 40.95789641000005),484.9487266133131
POINT (29.0323 40.98884),POINT (29.0381205 40.9852841),732.2244870984562
POINT (29.03243 40.98873),POINT (29.0381205 40.9852841),714.466104903202
POINT (29.04146 40.97061),POINT (29.0400193 40.9830405),1221.2237891373727
POINT (29.03052000000001 40.99644),POINT (29.0381205 40.9852841),1374.9494333225257
POINT (29.04221 40.99386),POINT (29.04693296500005 40.98701972100001),847.2788270405566
POINT (29.1045 40.95683),POINT (29.08519469200007 40.95789641000005),2142.265742934144
POINT (29.02765 40.99657),POINT (29.0381205 40.9852841),1598.5399766118048
POINT (29.0323 40.98864),POINT (29.0381205 40.9852841),723.2129711914965
POINT (29.07599 40.97175),POINT (29.0763525 40.9626436),887.5762175895262
POINT (29.0616 40.99674),POINT (29.0550429 41.0006797),821.8207620099613
POINT (29.06704 40.98334000000001),POINT (29.06724095 40.98946395),596.7407816457861
POINT (29.03428 40.99345),POINT (29.0381205 40.9852841),902.137455160355
POINT (29.03911 40.99603),POINT (29.0381205 40.9852841),1052.4095089469197
POINT (29.02492 40.98701),POINT (29.0381205 40.9852841),1472.7216571388346
POINT (29.02262 40.98165),POINT (29.0381205 40.9852841),1754.1093700152767
POINT (29.03028 40.99746),POINT (29.0381205 40.9852841),1470.3113290467797
POINT (29.03406 40.99108),POINT (29.0381205 40.9852841),721.985117425824
POINT (29.02639000000001 40.99489000000001),POINT (29.0381205 40.9852841),1601.8613051728375
