,centroid,origin_geometry,distance_origin_to_centroid,geometry
220,POINT (28.9821093 41.0412067),POINT (28.97695 41.03863),624.5435352918496,POINT (28.97695 41.03863)
221,POINT (28.6281981 41.0161145),POINT (28.5457 41.00975),9164.353590737155,POINT (28.5457 41.00975)
222,POINT (28.9821093 41.0412067),POINT (28.98788 41.04251),652.0873584982561,POINT (28.98788 41.04251)
223,POINT (28.999343 41.054067),POINT (28.99886 41.05352),75.54266926004915,POINT (28.99886 41.05352)
224,POINT (28.9868253 41.0523695),POINT (28.98674 41.05452),209.78217016385733,POINT (28.98674 41.05452)
225,POINT (29.0428689 41.0072355),POINT (29.0326 41.00767000000001),1138.9543582550452,POINT (29.0326 41.00767000000001)
226,POINT (28.9796001 41.03029625),POINT (28.98081 41.00507),2462.1409849353936,POINT (28.98081 41.00507)
227,POINT (28.9780884 41.0317305),POINT (28.97637000000001 41.03541),406.044810043924,POINT (28.97637000000001 41.03541)
228,POINT (28.9780884 41.0317305),POINT (28.97999 41.0343),327.30993096612895,POINT (28.97999 41.0343)
229,POINT (29.05480284200007 41.16968134000007),POINT (29.04211 41.16389),1515.6889028514606,POINT (29.04211 41.16389)
230,POINT (28.99013805 41.03554045),POINT (28.98769 41.03533),272.1049851667004,POINT (28.98769 41.03533)
231,POINT (29.03654855 41.07449),POINT (29.04047000000001 41.08333),964.5217152980163,POINT (29.04047000000001 41.08333)
232,POINT (28.97870225 41.05463435),POINT (28.9804 41.05298),247.79690809068424,POINT (28.9804 41.05298)
233,POINT (28.9796001 41.03029625),POINT (28.9765 41.02741),444.0573948558584,POINT (28.9765 41.02741)
234,POINT (28.9821093 41.0412067),POINT (28.97669 41.03864),650.6565563540688,POINT (28.97669 41.03864)
235,POINT (28.9780884 41.0317305),POINT (28.9765 41.03745),584.563926659193,POINT (28.9765 41.03745)
236,POINT (28.9863997 41.05934910000001),POINT (28.9832 41.05606),478.02859115563984,POINT (28.9832 41.05606)
237,POINT (29.05480284200007 41.16968134000007),POINT (29.04244000000001 41.16357),1493.943030454477,POINT (29.04244000000001 41.16357)
238,POINT (29.05480284200007 41.16968134000007),POINT (29.04337 41.16267),1439.4539451486664,POINT (29.04337 41.16267)
239,POINT (29.05480284200007 41.16968134000007),POINT (29.04247 41.16257),1532.379623157678,POINT (29.04247 41.16257)
240,POINT (28.9821093 41.0412067),POINT (28.98281 41.04295),186.80309016376086,POINT (28.98281 41.04295)
241,POINT (29.0381205 40.9852841),POINT (29.02968 40.99544),1361.5488765499178,POINT (29.02968 40.99544)
242,POINT (28.9780884 41.0317305),POINT (28.9716 41.03577),819.8583357380923,POINT (28.9716 41.03577)
243,POINT (28.98894300000007 41.05008799900003),POINT (28.98696 41.05019),220.01158444156923,POINT (28.98696 41.05019)
244,POINT (28.9868253 41.0523695),POINT (28.9875 41.05131),127.48558063644727,POINT (28.9875 41.05131)
245,POINT (29.04619549200004 41.02129809600007),POINT (29.04219 41.01616),668.9793135790012,POINT (29.04219 41.01616)
